,0
0,0.08282387
1,0.07934727
2,0.14984813
3,0.0038888145
4,0.1392128
5,0.119987294
6,0.072078906
7,0.042136587
8,0.033864073
9,0.07399009
10,0.06880791
11,0.034047585
12,0.025376463
13,0.12864196
14,0.06347962
15,0.051496446
16,0.100050546
17,0.06755637
18,0.10780209
19,0.06079463
20,0.110688314
21,0.0766063
22,0.047599413
23,0.09509981
24,0.09365655
25,0.06164846
26,0.023127973
27,0.020809155
28,0.055140126
29,0.037180685
30,0.095009394
31,0.032134738
32,0.030576998
33,0.064322144
34,0.036316983
35,0.046641838
36,0.083062485
37,0.048258178
38,0.020043645
39,0.0280996
40,0.04778434
41,0.031808548
42,0.14885148
43,0.111788526
44,0.028506821
45,0.062563196
46,0.03492242
47,0.08236377
48,0.044184044
49,0.083734155
50,0.06515007
51,0.07474264
52,0.059120513
53,0.14456744
54,0.10064378
55,0.028182361
56,0.045831766
57,0.077266365
58,0.02384216
59,0.038641054
60,0.06375736
61,0.06448354
62,0.051327597
63,0.06785749
64,0.054487925
65,0.05581973
66,0.023170575
67,0.04275302
68,0.122701965
69,0.05093328
70,0.041372806
71,0.06376694
72,0.13273777
73,0.08607221
74,0.10228026
75,0.0519194
76,0.066320986
77,0.060803175
78,0.06546529
79,0.053057183
80,0.04091055
81,0.029185817
82,0.0148972375
83,0.085543886
84,0.16775696
85,0.0070156767
86,0.010173673
87,0.04282627
88,0.044078164
89,0.01215792
90,0.14196856
91,0.039955728
92,0.081953086
93,0.04544091
94,0.05170999
95,0.035119984
96,0.03156477
97,0.027889514
98,0.053617768
99,0.014854712
