,Learning Status,MAPE (Dataset Size = 50)
1,Direct Learning,0.08282387
2,Direct Learning,0.07934727
3,Direct Learning,0.14984813
4,Direct Learning,0.0038888145
5,Direct Learning,0.1392128
6,Direct Learning,0.119987294
7,Direct Learning,0.072078906
8,Direct Learning,0.042136587
9,Direct Learning,0.033864073
10,Direct Learning,0.07399009
11,Direct Learning,0.06880791
12,Direct Learning,0.034047585
13,Direct Learning,0.025376463
14,Direct Learning,0.12864196
15,Direct Learning,0.06347962
16,Direct Learning,0.051496446
17,Direct Learning,0.100050546
18,Direct Learning,0.06755637
19,Direct Learning,0.10780209
20,Direct Learning,0.06079463
21,Direct Learning,0.110688314
22,Direct Learning,0.0766063
23,Direct Learning,0.047599413
24,Direct Learning,0.09509981
25,Direct Learning,0.09365655
26,Direct Learning,0.06164846
27,Direct Learning,0.023127973
28,Direct Learning,0.020809155
29,Direct Learning,0.055140126
30,Direct Learning,0.037180685
31,Direct Learning,0.095009394
32,Direct Learning,0.032134738
33,Direct Learning,0.030576998
34,Direct Learning,0.064322144
35,Direct Learning,0.036316983
36,Direct Learning,0.046641838
37,Direct Learning,0.083062485
38,Direct Learning,0.048258178
39,Direct Learning,0.020043645
40,Direct Learning,0.0280996
41,Direct Learning,0.04778434
42,Direct Learning,0.031808548
43,Direct Learning,0.14885148
44,Direct Learning,0.111788526
45,Direct Learning,0.028506821
46,Direct Learning,0.062563196
47,Direct Learning,0.03492242
48,Direct Learning,0.08236377
49,Direct Learning,0.044184044
50,Direct Learning,0.083734155
51,Direct Learning,0.06515007
52,Direct Learning,0.07474264
53,Direct Learning,0.059120513
54,Direct Learning,0.14456744
55,Direct Learning,0.10064378
56,Direct Learning,0.028182361
57,Direct Learning,0.045831766
58,Direct Learning,0.077266365
59,Direct Learning,0.02384216
60,Direct Learning,0.038641054
61,Direct Learning,0.06375736
62,Direct Learning,0.06448354
63,Direct Learning,0.051327597
64,Direct Learning,0.06785749
65,Direct Learning,0.054487925
66,Direct Learning,0.05581973
67,Direct Learning,0.023170575
68,Direct Learning,0.04275302
69,Direct Learning,0.122701965
70,Direct Learning,0.05093328
71,Direct Learning,0.041372806
72,Direct Learning,0.06376694
73,Direct Learning,0.13273777
74,Direct Learning,0.08607221
75,Direct Learning,0.10228026
76,Direct Learning,0.0519194
77,Direct Learning,0.066320986
78,Direct Learning,0.060803175
79,Direct Learning,0.06546529
80,Direct Learning,0.053057183
81,Direct Learning,0.04091055
82,Direct Learning,0.029185817
83,Direct Learning,0.0148972375
84,Direct Learning,0.085543886
85,Direct Learning,0.16775696
86,Direct Learning,0.0070156767
87,Direct Learning,0.010173673
88,Direct Learning,0.04282627
89,Direct Learning,0.044078164
90,Direct Learning,0.01215792
91,Direct Learning,0.14196856
92,Direct Learning,0.039955728
93,Direct Learning,0.081953086
94,Direct Learning,0.04544091
95,Direct Learning,0.05170999
96,Direct Learning,0.035119984
97,Direct Learning,0.03156477
98,Direct Learning,0.027889514
99,Direct Learning,0.053617768
100,Direct Learning,0.014854712
1,Transfer Learning,0.06262614
2,Transfer Learning,0.048044104
3,Transfer Learning,0.07077348
4,Transfer Learning,0.030093957
5,Transfer Learning,0.060090672
6,Transfer Learning,0.06582604
7,Transfer Learning,0.030979902
8,Transfer Learning,0.029720664
9,Transfer Learning,0.042369
10,Transfer Learning,0.035905935
11,Transfer Learning,0.02262034
12,Transfer Learning,0.0356633
13,Transfer Learning,0.02188173
14,Transfer Learning,0.06888214
15,Transfer Learning,0.046854924
16,Transfer Learning,0.034331195
17,Transfer Learning,0.04528726
18,Transfer Learning,0.07147102
19,Transfer Learning,0.04721562
20,Transfer Learning,0.023972701
21,Transfer Learning,0.05296282
22,Transfer Learning,0.04597571
23,Transfer Learning,0.04508618
24,Transfer Learning,0.035244633
25,Transfer Learning,0.051996626
26,Transfer Learning,0.026482051
27,Transfer Learning,0.027380008
28,Transfer Learning,0.04392187
29,Transfer Learning,0.027906496
30,Transfer Learning,0.04919777
31,Transfer Learning,0.059352875
32,Transfer Learning,0.032752085
33,Transfer Learning,0.059746303
34,Transfer Learning,0.05512061
35,Transfer Learning,0.07316336
36,Transfer Learning,0.030903082
37,Transfer Learning,0.02804873
38,Transfer Learning,0.038439136
39,Transfer Learning,0.02532098
40,Transfer Learning,0.033889074
41,Transfer Learning,0.05123951
42,Transfer Learning,0.03556737
43,Transfer Learning,0.06392262
44,Transfer Learning,0.053308785
45,Transfer Learning,0.0389749
46,Transfer Learning,0.024680443
47,Transfer Learning,0.03236025
48,Transfer Learning,0.03564353
49,Transfer Learning,0.053887986
50,Transfer Learning,0.019293386
51,Transfer Learning,0.07884075
52,Transfer Learning,0.02494792
53,Transfer Learning,0.029373173
54,Transfer Learning,0.12835602
55,Transfer Learning,0.09287101
56,Transfer Learning,0.029972995
57,Transfer Learning,0.024017941
58,Transfer Learning,0.05079055
59,Transfer Learning,0.026300162
60,Transfer Learning,0.009861278
61,Transfer Learning,0.05190315
62,Transfer Learning,0.03711447
63,Transfer Learning,0.055491082
64,Transfer Learning,0.057364203
65,Transfer Learning,0.03908045
66,Transfer Learning,0.016941102
67,Transfer Learning,0.024364728
68,Transfer Learning,0.026984211
69,Transfer Learning,0.100087985
70,Transfer Learning,0.028919453
71,Transfer Learning,0.031310055
72,Transfer Learning,0.03591668
73,Transfer Learning,0.06281189
74,Transfer Learning,0.09089972
75,Transfer Learning,0.05194366
76,Transfer Learning,0.055998735
77,Transfer Learning,0.050513603
78,Transfer Learning,0.040114615
