,0
0,0.15443668
1,0.069441244
2,0.054528076
3,0.037180465
4,0.08552198
5,0.12807891
6,0.091538236
7,0.14875332
8,0.08903389
9,0.109402396
10,0.08660929
11,0.06806328
12,0.12430118
13,0.070469044
14,0.035947442
15,0.11301994
16,0.06987919
17,0.11689025
18,0.05466684
19,0.069927506
20,0.14007874
21,0.09814002
22,0.059807427
23,0.11291877
24,0.06328553
25,0.09495889
26,0.029956961
27,0.06560519
28,0.049600475
29,0.06239269
30,0.06423909
31,0.15068042
32,0.053896718
33,0.030010264
34,0.054884363
35,0.03483631
36,0.11909457
37,0.16094139
38,0.0788336
39,0.06683821
40,0.056652598
41,0.060832985
42,0.07083249
43,0.056702703
44,0.071619794
45,0.08748093
46,0.034226798
47,0.052099813
48,0.024020243
49,0.09761883
50,0.037993655
51,0.0925003
52,0.04919511
53,0.06104791
54,0.1271848
55,0.14989865
56,0.015859004
57,0.07753655
58,0.14417051
59,0.101694204
60,0.039711982
61,0.11341681
62,0.09095987
63,0.09541364
64,0.06762342
65,0.0645113
66,0.031097654
67,0.03602288
68,0.060124785
69,0.075331666
70,0.08689597
71,0.13035432
72,0.1109754
73,0.07609672
74,0.105245605
75,0.10266119
76,0.050280266
77,0.062046997
78,0.065773636
79,0.07271321
80,0.16085054
81,0.050790064
82,0.03394835
83,0.059551567
84,0.035134945
85,0.09733882
86,0.08774252
87,0.08036926
88,0.13495338
89,0.062084805
90,0.09209612
91,0.1138247
92,0.1037655
93,0.096304454
94,0.10308955
95,0.08399014
96,0.15583289
97,0.13391192
98,0.042179387
99,0.08172812
