,0
0,0.034844138
1,0.11367375
2,0.063525766
3,0.120080695
4,0.25584108
5,0.27390343
6,0.07419534
7,0.17167512
8,0.16116479
9,0.14460973
10,0.1403493
11,0.16339022
12,0.25593263
13,0.19535193
14,0.13109568
15,0.090802826
16,0.12974285
17,0.14144376
18,0.13532475
19,0.17221877
20,0.17807478
21,0.12834562
22,0.16708803
23,0.07889377
24,0.10069281
25,0.09931522
26,0.1198761
27,0.10594161
28,0.059732795
29,0.055527635
30,0.14959493
31,0.1756821
32,0.16426238
33,0.28814545
34,0.30713362
35,0.054529242
36,0.08248358
37,0.21190174
38,0.0797428
39,0.1598743
40,0.08614097
41,0.14916518
42,0.08309774
43,0.08485684
44,0.1058424
45,0.14692877
46,0.17653362
47,0.12311423
48,0.10437435
49,0.11951224
50,0.1455402
51,0.09935653
52,0.121232845
53,0.14393148
54,0.12333821
55,0.1930764
56,0.071220435
57,0.14469795
58,0.10755031
59,0.11584848
60,0.05300163
61,0.103905484
62,0.15121296
63,0.10161595
64,0.11095669
65,0.08577549
66,0.032362424
67,0.21000835
68,0.12718782
69,0.09249882
70,0.11192989
71,0.07020788
72,0.123925194
73,0.13622846
74,0.20971282
75,0.12740186
76,0.10395734
77,0.07975692
78,0.15457216
79,0.10514562
80,0.1389337
81,0.19764483
82,0.12351872
83,0.14270654
84,0.0668448
85,0.21801999
86,0.090264246
87,0.042831905
88,0.10650098
89,0.11138259
90,0.095196344
91,0.06392688
92,0.29962146
93,0.1555616
94,0.12443533
95,0.12334325
96,0.25221848
97,0.2655081
98,0.044740364
99,0.09525516
