,0
0,0.050284266
1,0.03717423
2,0.07359041
3,0.017622568
4,0.054290272
5,0.09491773
6,0.06523836
7,0.053562086
8,0.050277315
9,0.03289631
10,0.04184308
11,0.05326593
12,0.05212573
13,0.04427134
14,0.018987339
15,0.07143536
16,0.065974794
17,0.051839273
18,0.04140036
19,0.047563232
20,0.056215383
21,0.05245331
22,0.033262644
23,0.016780822
24,0.04525774
25,0.04054341
26,0.03367857
27,0.02406407
28,0.05172301
29,0.026965767
30,0.052627068
31,0.04249637
32,0.029369464
33,0.06657208
34,0.05620707
35,0.037409604
36,0.046607237
37,0.06899588
38,0.061243676
39,0.058184825
40,0.051122658
41,0.03271771
42,0.040267423
43,0.037783686
44,0.030136282
45,0.09199412
46,0.053532053
47,0.042459495
48,0.021838395
49,0.07308821
50,0.041408457
51,0.04336638
52,0.027075583
53,0.054295342
54,0.040947028
55,0.034319405
56,0.012423538
57,0.023333091
58,0.033374466
59,0.012971589
60,0.037444167
61,0.043536026
62,0.03997096
63,0.047406368
64,0.029721672
65,0.05778718
66,0.053174425
67,0.057497233
68,0.04401261
69,0.05017685
70,0.047585275
71,0.059978116
72,0.046383344
73,0.07390203
74,0.022008607
75,0.058566462
76,0.040775437
77,0.053426184
78,0.042252127
79,0.038489457
80,0.022687605
81,0.050945044
82,0.012547868
83,0.059880525
84,0.052582465
85,0.029755792
86,0.025786046
87,0.052377623
88,0.025040984
89,0.041484624
90,0.065974884
91,0.04403444
92,0.05222047
93,0.04279012
94,0.075189024
95,0.058924936
96,0.056129824
97,0.04624869
98,0.036658294
99,0.0478466
