,0
0,0.06262614
1,0.048044104
2,0.07077348
3,0.030093957
4,0.060090672
5,0.06582604
6,0.030979902
7,0.029720664
8,0.042369
9,0.035905935
10,0.02262034
11,0.0356633
12,0.02188173
13,0.06888214
14,0.046854924
15,0.034331195
16,0.04528726
17,0.07147102
18,0.04721562
19,0.023972701
20,0.05296282
21,0.04597571
22,0.04508618
23,0.035244633
24,0.051996626
25,0.026482051
26,0.027380008
27,0.04392187
28,0.027906496
29,0.04919777
30,0.059352875
31,0.032752085
32,0.059746303
33,0.05512061
34,0.07316336
35,0.030903082
36,0.02804873
37,0.038439136
38,0.02532098
39,0.033889074
40,0.05123951
41,0.03556737
42,0.06392262
43,0.053308785
44,0.0389749
45,0.024680443
46,0.03236025
47,0.03564353
48,0.053887986
49,0.019293386
50,0.07884075
51,0.02494792
52,0.029373173
53,0.12835602
54,0.09287101
55,0.029972995
56,0.024017941
57,0.05079055
58,0.026300162
59,0.009861278
60,0.05190315
61,0.03711447
62,0.055491082
63,0.057364203
64,0.03908045
65,0.016941102
66,0.024364728
67,0.026984211
68,0.100087985
69,0.028919453
70,0.031310055
71,0.03591668
72,0.06281189
73,0.09089972
74,0.05194366
75,0.055998735
76,0.050513603
77,0.040114615
78,0.02068061
79,0.026139636
80,0.028275657
81,0.023782428
82,0.034276716
83,0.057323974
84,0.086961664
85,0.0115648415
86,0.051447786
87,0.034927055
88,0.021305408
89,0.048897624
90,0.059439927
91,0.02763339
92,0.051047444
93,0.040930197
94,0.03951751
95,0.026506912
96,0.04090499
97,0.04765434
98,0.046143968
99,0.022917915
