,0
0,0.26057428
1,0.2709097
2,0.29377812
3,0.3319896
4,0.58517563
5,0.3010444
6,0.2723013
7,0.25331
8,0.27854708
9,0.5840653
10,0.3425092
11,0.27304363
12,0.3008278
13,0.22550397
14,0.1493618
15,0.36490852
16,0.2141248
17,0.2828248
18,0.2748198
19,0.40612262
20,0.28153092
21,0.4950953
22,0.2458113
23,0.27117673
24,0.18579602
25,0.3836929
26,0.3626082
27,0.3615335
28,0.3547029
29,0.15068321
30,0.26093477
31,0.21615696
32,0.1751228
33,0.3166491
34,0.5115627
35,0.18856852
36,0.25002345
37,0.44236845
38,0.46074492
39,0.49683014
40,0.42583498
41,0.3792442
42,0.2031196
43,0.38528386
44,0.3836205
45,0.19893959
46,0.4243272
47,0.26627532
48,0.22772083
49,0.28453523
50,0.38462383
51,0.4449671
52,0.2876956
53,0.3006807
54,0.37433824
55,0.46940342
56,0.19348776
57,0.25980455
58,0.2670465
59,0.28794643
60,0.3106055
61,0.28504416
62,0.33311483
63,0.3871019
64,0.41249523
65,0.2717347
66,0.31349212
67,0.36955208
68,0.37418276
69,0.5008396
70,0.27571708
71,0.13271163
72,0.34674802
73,0.1853077
74,0.33958444
75,0.4850827
76,0.25954524
77,0.31108138
78,0.32035837
79,0.46237096
80,0.3079504
81,0.29525033
82,0.38411015
83,0.36384922
84,0.39635533
85,0.26069388
86,0.2889148
87,0.23042805
88,0.45861116
89,0.39156944
90,0.34088877
91,0.2692551
92,0.31434658
93,0.37573847
94,0.35403055
95,0.46364298
96,0.58564657
97,0.30120048
98,0.35335124
99,0.30042925
