,0
0,0.118152365
1,0.05221336
2,0.06160879
3,0.02440599
4,0.054432623
5,0.06068973
6,0.027085641
7,0.08480135
8,0.036599956
9,0.040875398
10,0.045419715
11,0.05950994
12,0.0665797
13,0.026029151
14,0.053546917
15,0.0380025
16,0.03629293
17,0.07685104
18,0.056265462
19,0.06206135
20,0.088155404
21,0.03708926
22,0.053340167
23,0.043514647
24,0.04043914
25,0.10977002
26,0.029834662
27,0.075599045
28,0.03795838
29,0.049606454
30,0.038978
31,0.10977559
32,0.029025551
33,0.038794715
34,0.03281147
35,0.040997956
36,0.071188614
37,0.06147345
38,0.028682461
39,0.050213587
40,0.05082841
41,0.018388536
42,0.040366314
43,0.040743116
44,0.024670528
45,0.04350382
46,0.03171157
47,0.03811445
48,0.018340943
49,0.05196328
50,0.04956568
51,0.05783279
52,0.037233952
53,0.048548345
54,0.073368646
55,0.036553405
56,0.021642873
57,0.02752108
58,0.03786517
59,0.01806889
60,0.029981684
61,0.06486216
62,0.036405317
63,0.037336797
64,0.03189019
65,0.0205441
66,0.03316117
67,0.028959092
68,0.061491407
69,0.04042148
70,0.10907247
71,0.044193458
72,0.059989918
73,0.058953505
74,0.06678393
75,0.03712272
76,0.04619513
77,0.040963586
78,0.045517594
79,0.030925194
80,0.057873696
81,0.037844118
82,0.056797743
83,0.07677768
84,0.033370994
85,0.014789069
86,0.045151327
87,0.028504979
88,0.09454315
89,0.059638232
90,0.054153264
91,0.06652869
92,0.045847524
93,0.025446236
94,0.05379919
95,0.034416206
96,0.07696526
97,0.054924857
98,0.023747701
99,0.037115503
