,Learning Status,MAPE (Dataset Size = 50)
1,Direct Learning,0.03351896
2,Direct Learning,0.051307224
3,Direct Learning,0.08673479
4,Direct Learning,0.056419473
5,Direct Learning,0.016508054
6,Direct Learning,0.054507177
7,Direct Learning,0.06009041
8,Direct Learning,0.11339313
9,Direct Learning,0.066374265
10,Direct Learning,0.068370566
11,Direct Learning,0.027694572
12,Direct Learning,0.06582062
13,Direct Learning,0.04069276
14,Direct Learning,0.043511085
15,Direct Learning,0.022300098
16,Direct Learning,0.046712432
17,Direct Learning,0.16967149
18,Direct Learning,0.08969513
19,Direct Learning,0.045340855
20,Direct Learning,0.07793526
21,Direct Learning,0.05914287
22,Direct Learning,0.05081444
23,Direct Learning,0.02935027
24,Direct Learning,0.04472594
25,Direct Learning,0.05961905
26,Direct Learning,0.08960048
27,Direct Learning,0.059307955
28,Direct Learning,0.06557193
29,Direct Learning,0.054089896
30,Direct Learning,0.023853656
31,Direct Learning,0.1211588
32,Direct Learning,0.054921288
33,Direct Learning,0.13057634
34,Direct Learning,0.08010675
35,Direct Learning,0.04915903
36,Direct Learning,0.039672498
37,Direct Learning,0.059197344
38,Direct Learning,0.078237906
39,Direct Learning,0.061342634
40,Direct Learning,0.08111817
41,Direct Learning,0.06329527
42,Direct Learning,0.07260305
43,Direct Learning,0.050705165
44,Direct Learning,0.05499161
45,Direct Learning,0.05267201
46,Direct Learning,0.062103778
47,Direct Learning,0.052582085
48,Direct Learning,0.028231313
49,Direct Learning,0.046571665
50,Direct Learning,0.09745653
51,Direct Learning,0.11396484
52,Direct Learning,0.09484832
53,Direct Learning,0.08901708
54,Direct Learning,0.07340015
55,Direct Learning,0.062258046
56,Direct Learning,0.06404277
57,Direct Learning,0.06716679
58,Direct Learning,0.057830065
59,Direct Learning,0.05776925
60,Direct Learning,0.024553034
61,Direct Learning,0.021488978
62,Direct Learning,0.0548307
63,Direct Learning,0.06459166
64,Direct Learning,0.1192164
65,Direct Learning,0.06352535
66,Direct Learning,0.09309186
67,Direct Learning,0.08159785
68,Direct Learning,0.106768414
69,Direct Learning,0.038497545
70,Direct Learning,0.11103366
71,Direct Learning,0.043303855
72,Direct Learning,0.058885474
73,Direct Learning,0.05699291
74,Direct Learning,0.06333896
75,Direct Learning,0.08027927
76,Direct Learning,0.11898788
77,Direct Learning,0.08048093
78,Direct Learning,0.09468578
79,Direct Learning,0.053658046
80,Direct Learning,0.063125566
81,Direct Learning,0.055362593
82,Direct Learning,0.07759074
83,Direct Learning,0.034550197
84,Direct Learning,0.038229
85,Direct Learning,0.11413817
86,Direct Learning,0.049329497
87,Direct Learning,0.036868867
88,Direct Learning,0.0536635
89,Direct Learning,0.085489824
90,Direct Learning,0.09098375
91,Direct Learning,0.06074374
92,Direct Learning,0.04001981
93,Direct Learning,0.10392761
94,Direct Learning,0.0838362
95,Direct Learning,0.10261388
96,Direct Learning,0.05647573
97,Direct Learning,0.093237594
98,Direct Learning,0.075016655
99,Direct Learning,0.06745781
100,Direct Learning,0.050623465
1,Transfer Learning,0.050284266
2,Transfer Learning,0.03717423
3,Transfer Learning,0.07359041
4,Transfer Learning,0.017622568
5,Transfer Learning,0.054290272
6,Transfer Learning,0.09491773
7,Transfer Learning,0.06523836
8,Transfer Learning,0.053562086
