,Learning Status,MAPE (Dataset Size = 50)
9,Transfer Learning,0.050277315
10,Transfer Learning,0.03289631
11,Transfer Learning,0.04184308
12,Transfer Learning,0.05326593
13,Transfer Learning,0.05212573
14,Transfer Learning,0.04427134
15,Transfer Learning,0.018987339
16,Transfer Learning,0.07143536
17,Transfer Learning,0.065974794
18,Transfer Learning,0.051839273
19,Transfer Learning,0.04140036
20,Transfer Learning,0.047563232
21,Transfer Learning,0.056215383
22,Transfer Learning,0.05245331
23,Transfer Learning,0.033262644
24,Transfer Learning,0.016780822
25,Transfer Learning,0.04525774
26,Transfer Learning,0.04054341
27,Transfer Learning,0.03367857
28,Transfer Learning,0.02406407
29,Transfer Learning,0.05172301
30,Transfer Learning,0.026965767
31,Transfer Learning,0.052627068
32,Transfer Learning,0.04249637
33,Transfer Learning,0.029369464
34,Transfer Learning,0.06657208
35,Transfer Learning,0.05620707
36,Transfer Learning,0.037409604
37,Transfer Learning,0.046607237
38,Transfer Learning,0.06899588
39,Transfer Learning,0.061243676
40,Transfer Learning,0.058184825
41,Transfer Learning,0.051122658
42,Transfer Learning,0.03271771
43,Transfer Learning,0.040267423
44,Transfer Learning,0.037783686
45,Transfer Learning,0.030136282
46,Transfer Learning,0.09199412
47,Transfer Learning,0.053532053
48,Transfer Learning,0.042459495
49,Transfer Learning,0.021838395
50,Transfer Learning,0.07308821
51,Transfer Learning,0.041408457
52,Transfer Learning,0.04336638
53,Transfer Learning,0.027075583
54,Transfer Learning,0.054295342
55,Transfer Learning,0.040947028
56,Transfer Learning,0.034319405
57,Transfer Learning,0.012423538
58,Transfer Learning,0.023333091
59,Transfer Learning,0.033374466
60,Transfer Learning,0.012971589
61,Transfer Learning,0.037444167
62,Transfer Learning,0.043536026
63,Transfer Learning,0.03997096
64,Transfer Learning,0.047406368
65,Transfer Learning,0.029721672
66,Transfer Learning,0.05778718
67,Transfer Learning,0.053174425
68,Transfer Learning,0.057497233
69,Transfer Learning,0.04401261
70,Transfer Learning,0.05017685
71,Transfer Learning,0.047585275
72,Transfer Learning,0.059978116
73,Transfer Learning,0.046383344
74,Transfer Learning,0.07390203
75,Transfer Learning,0.022008607
76,Transfer Learning,0.058566462
77,Transfer Learning,0.040775437
78,Transfer Learning,0.053426184
79,Transfer Learning,0.042252127
80,Transfer Learning,0.038489457
81,Transfer Learning,0.022687605
82,Transfer Learning,0.050945044
83,Transfer Learning,0.012547868
84,Transfer Learning,0.059880525
85,Transfer Learning,0.052582465
86,Transfer Learning,0.029755792
87,Transfer Learning,0.025786046
88,Transfer Learning,0.052377623
89,Transfer Learning,0.025040984
90,Transfer Learning,0.041484624
91,Transfer Learning,0.065974884
92,Transfer Learning,0.04403444
93,Transfer Learning,0.05222047
94,Transfer Learning,0.04279012
95,Transfer Learning,0.075189024
96,Transfer Learning,0.058924936
97,Transfer Learning,0.056129824
98,Transfer Learning,0.04624869
99,Transfer Learning,0.036658294
100,Transfer Learning,0.0478466
