,Learning Status,MAPE (Dataset Size = 50)
1,Direct Learning,0.39572722
2,Direct Learning,0.21588251
3,Direct Learning,0.3078398
4,Direct Learning,0.2827562
5,Direct Learning,0.1797401
6,Direct Learning,0.15826282
7,Direct Learning,0.35325631
8,Direct Learning,0.31152394
9,Direct Learning,0.23976198
10,Direct Learning,0.5630452
11,Direct Learning,0.19095711
12,Direct Learning,0.27508444
13,Direct Learning,0.30907592
14,Direct Learning,0.2835686
15,Direct Learning,0.28336903
16,Direct Learning,0.37848827
17,Direct Learning,0.2965383
18,Direct Learning,0.30828166
19,Direct Learning,0.33346385
20,Direct Learning,0.5378951
21,Direct Learning,0.31918377
22,Direct Learning,0.43105498
23,Direct Learning,0.5202959
24,Direct Learning,0.4707027
25,Direct Learning,0.25745434
26,Direct Learning,0.44251156
27,Direct Learning,0.36423168
28,Direct Learning,0.35640466
29,Direct Learning,0.4847533
30,Direct Learning,0.3236503
31,Direct Learning,0.42298427
32,Direct Learning,0.48829776
33,Direct Learning,0.30434316
34,Direct Learning,0.32111412
35,Direct Learning,0.35820585
36,Direct Learning,0.16456585
37,Direct Learning,0.44308734
38,Direct Learning,0.2111294
39,Direct Learning,0.377703
40,Direct Learning,0.25013214
41,Direct Learning,0.38340992
42,Direct Learning,0.25541517
43,Direct Learning,0.28371882
44,Direct Learning,0.27651703
45,Direct Learning,0.15548165
46,Direct Learning,0.47099748
47,Direct Learning,0.3291832
48,Direct Learning,0.3186165
49,Direct Learning,0.29112133
50,Direct Learning,0.42082444
51,Direct Learning,0.3181893
52,Direct Learning,0.38343126
53,Direct Learning,0.49511686
54,Direct Learning,0.3825214
55,Direct Learning,0.27872294
56,Direct Learning,0.2249444
57,Direct Learning,0.23371263
58,Direct Learning,0.2697415
59,Direct Learning,0.300874
60,Direct Learning,0.47627702
61,Direct Learning,0.25676996
62,Direct Learning,0.27262408
63,Direct Learning,0.3339372
64,Direct Learning,0.39325538
65,Direct Learning,0.26511583
66,Direct Learning,0.12434509
67,Direct Learning,0.34016562
68,Direct Learning,0.2917481
69,Direct Learning,0.38035566
70,Direct Learning,0.33418256
71,Direct Learning,0.3271556
72,Direct Learning,0.23531003
73,Direct Learning,0.3494763
74,Direct Learning,0.23883557
75,Direct Learning,0.57237554
76,Direct Learning,0.33320174
77,Direct Learning,0.34159127
78,Direct Learning,0.42340645
79,Direct Learning,0.2913202
80,Direct Learning,0.18196157
81,Direct Learning,0.34371105
82,Direct Learning,0.29568443
83,Direct Learning,0.44320846
84,Direct Learning,0.3951265
85,Direct Learning,0.23484358
86,Direct Learning,0.47282392
87,Direct Learning,0.26866367
88,Direct Learning,0.31417784
89,Direct Learning,0.33791047
