,Learning Status,MAPE (Dataset Size = 50)
48,Transfer Learning,0.100473806
49,Transfer Learning,0.08939536
50,Transfer Learning,0.18342572
51,Transfer Learning,0.08422045
52,Transfer Learning,0.075195625
53,Transfer Learning,0.10079058
54,Transfer Learning,0.098058134
55,Transfer Learning,0.10175236
56,Transfer Learning,0.15265748
57,Transfer Learning,0.092911065
58,Transfer Learning,0.077910654
59,Transfer Learning,0.072673716
60,Transfer Learning,0.07115614
61,Transfer Learning,0.17405336
62,Transfer Learning,0.037242584
63,Transfer Learning,0.08000358
64,Transfer Learning,0.111692786
65,Transfer Learning,0.071526
66,Transfer Learning,0.14875421
67,Transfer Learning,0.13185836
68,Transfer Learning,0.07618519
69,Transfer Learning,0.11539817
70,Transfer Learning,0.07521589
71,Transfer Learning,0.23783262
72,Transfer Learning,0.11249322
73,Transfer Learning,0.19871375
74,Transfer Learning,0.09640868
75,Transfer Learning,0.12567142
76,Transfer Learning,0.13158944
77,Transfer Learning,0.17606838
78,Transfer Learning,0.16584557
79,Transfer Learning,0.07547471
80,Transfer Learning,0.16358133
81,Transfer Learning,0.11085595
82,Transfer Learning,0.12271334
83,Transfer Learning,0.11807668
84,Transfer Learning,0.088223234
85,Transfer Learning,0.20797785
86,Transfer Learning,0.07710938
87,Transfer Learning,0.14749132
88,Transfer Learning,0.13928802
89,Transfer Learning,0.15379672
90,Transfer Learning,0.077197514
91,Transfer Learning,0.13385569
92,Transfer Learning,0.06408128
93,Transfer Learning,0.16562827
94,Transfer Learning,0.065516666
95,Transfer Learning,0.12283143
96,Transfer Learning,0.13117428
97,Transfer Learning,0.088025585
98,Transfer Learning,0.15812925
99,Transfer Learning,0.09362513
100,Transfer Learning,0.16025692
