,Learning Status,MAPE (Dataset Size = 50)
1,Direct Learning,0.26057428
2,Direct Learning,0.2709097
3,Direct Learning,0.29377812
4,Direct Learning,0.3319896
5,Direct Learning,0.58517563
6,Direct Learning,0.3010444
7,Direct Learning,0.2723013
8,Direct Learning,0.25331
9,Direct Learning,0.27854708
10,Direct Learning,0.5840653
11,Direct Learning,0.3425092
12,Direct Learning,0.27304363
13,Direct Learning,0.3008278
14,Direct Learning,0.22550397
15,Direct Learning,0.1493618
16,Direct Learning,0.36490852
17,Direct Learning,0.2141248
18,Direct Learning,0.2828248
19,Direct Learning,0.2748198
20,Direct Learning,0.40612262
21,Direct Learning,0.28153092
22,Direct Learning,0.4950953
23,Direct Learning,0.2458113
24,Direct Learning,0.27117673
25,Direct Learning,0.18579602
26,Direct Learning,0.3836929
27,Direct Learning,0.3626082
28,Direct Learning,0.3615335
29,Direct Learning,0.3547029
30,Direct Learning,0.15068321
31,Direct Learning,0.26093477
32,Direct Learning,0.21615696
33,Direct Learning,0.1751228
34,Direct Learning,0.3166491
35,Direct Learning,0.5115627
36,Direct Learning,0.18856852
37,Direct Learning,0.25002345
38,Direct Learning,0.44236845
39,Direct Learning,0.46074492
40,Direct Learning,0.49683014
41,Direct Learning,0.42583498
42,Direct Learning,0.3792442
43,Direct Learning,0.2031196
44,Direct Learning,0.38528386
45,Direct Learning,0.3836205
46,Direct Learning,0.19893959
47,Direct Learning,0.4243272
48,Direct Learning,0.26627532
49,Direct Learning,0.22772083
50,Direct Learning,0.28453523
51,Direct Learning,0.38462383
52,Direct Learning,0.4449671
53,Direct Learning,0.2876956
54,Direct Learning,0.3006807
55,Direct Learning,0.37433824
56,Direct Learning,0.46940342
57,Direct Learning,0.19348776
58,Direct Learning,0.25980455
59,Direct Learning,0.2670465
60,Direct Learning,0.28794643
61,Direct Learning,0.3106055
62,Direct Learning,0.28504416
63,Direct Learning,0.33311483
64,Direct Learning,0.3871019
65,Direct Learning,0.41249523
66,Direct Learning,0.2717347
67,Direct Learning,0.31349212
68,Direct Learning,0.36955208
69,Direct Learning,0.37418276
70,Direct Learning,0.5008396
71,Direct Learning,0.27571708
72,Direct Learning,0.13271163
73,Direct Learning,0.34674802
74,Direct Learning,0.1853077
75,Direct Learning,0.33958444
76,Direct Learning,0.4850827
77,Direct Learning,0.25954524
78,Direct Learning,0.31108138
79,Direct Learning,0.32035837
80,Direct Learning,0.46237096
81,Direct Learning,0.3079504
82,Direct Learning,0.29525033
83,Direct Learning,0.38411015
84,Direct Learning,0.36384922
85,Direct Learning,0.39635533
86,Direct Learning,0.26069388
87,Direct Learning,0.2889148
88,Direct Learning,0.23042805
89,Direct Learning,0.45861116
90,Direct Learning,0.39156944
91,Direct Learning,0.34088877
92,Direct Learning,0.2692551
93,Direct Learning,0.31434658
94,Direct Learning,0.37573847
95,Direct Learning,0.35403055
96,Direct Learning,0.46364298
97,Direct Learning,0.58564657
98,Direct Learning,0.30120048
99,Direct Learning,0.35335124
100,Direct Learning,0.30042925
1,Transfer Learning,0.15209898
2,Transfer Learning,0.13561848
3,Transfer Learning,0.14212027
4,Transfer Learning,0.07192071
5,Transfer Learning,0.09068929
6,Transfer Learning,0.074043974
7,Transfer Learning,0.1427286
8,Transfer Learning,0.093406454
9,Transfer Learning,0.08855613
10,Transfer Learning,0.06850755
11,Transfer Learning,0.0649281
12,Transfer Learning,0.21886595
13,Transfer Learning,0.06065003
14,Transfer Learning,0.03750621
15,Transfer Learning,0.10179053
16,Transfer Learning,0.15520464
17,Transfer Learning,0.24332647
18,Transfer Learning,0.10449628
19,Transfer Learning,0.13417651
20,Transfer Learning,0.1551755
21,Transfer Learning,0.08496106
22,Transfer Learning,0.075762674
23,Transfer Learning,0.07847804
24,Transfer Learning,0.041451402
25,Transfer Learning,0.17999771
26,Transfer Learning,0.1389403
27,Transfer Learning,0.13165869
28,Transfer Learning,0.15994406
29,Transfer Learning,0.04149854
30,Transfer Learning,0.13259633
31,Transfer Learning,0.058229912
32,Transfer Learning,0.082412586
33,Transfer Learning,0.11996238
34,Transfer Learning,0.07144358
35,Transfer Learning,0.08383066
36,Transfer Learning,0.122676566
37,Transfer Learning,0.09299219
38,Transfer Learning,0.12280516
39,Transfer Learning,0.1301671
40,Transfer Learning,0.088149205
41,Transfer Learning,0.12559411
42,Transfer Learning,0.20833556
43,Transfer Learning,0.13752362
44,Transfer Learning,0.060577445
45,Transfer Learning,0.084666096
46,Transfer Learning,0.1566104
47,Transfer Learning,0.1551789
