,0
0,0.47898746
1,0.31288445
2,0.40742296
3,0.065042585
4,0.47382563
5,0.39065677
6,0.48755962
7,0.14716946
8,0.6347253
9,0.2843781
10,0.27386343
11,0.23316443
12,0.3783493
13,0.3725812
14,0.3017555
15,0.28818884
16,0.4767267
17,0.19665374
18,0.38125792
19,0.37274903
20,0.38328642
21,0.48822004
22,0.17977726
23,0.3762552
24,0.4113919
25,0.18540792
26,0.32338458
27,0.23298018
28,0.44795537
29,0.14514038
30,0.26976267
31,0.2843705
32,0.16873899
33,0.2937371
34,0.42295647
35,0.37555218
36,0.3183362
37,0.22427785
38,0.2777499
39,0.2381877
40,0.22535601
41,0.3109247
42,0.40475568
43,0.26916808
44,0.33970314
45,0.27054036
46,0.24332313
47,0.37452498
48,0.14257541
49,0.22466235
50,0.26464295
51,0.2694943
52,0.27996874
53,0.19323242
54,0.27547032
55,0.19676214
56,0.40551835
57,0.30296886
58,0.1528116
59,0.24978065
60,0.43978697
61,0.3183517
62,0.29925752
63,0.32763147
64,0.308119
65,0.5051824
66,0.20506056
67,0.27453098
68,0.3391173
69,0.25727707
70,0.20896813
71,0.3869036
72,0.40224895
73,0.3176062
74,0.2792109
75,0.21679676
76,0.31524932
77,0.4057885
78,0.27490705
79,0.18972111
80,0.42795935
81,0.40114698
82,0.3059881
83,0.24729577
84,0.36522585
85,0.18523562
86,0.12229184
87,0.2916112
88,0.26350957
89,0.2518192
90,0.39373532
91,0.2510783
92,0.30708104
93,0.26392353
94,0.17397465
95,0.16397639
96,0.20108338
97,0.18786746
98,0.31501478
99,0.1409491
