,0
0,0.03351896
1,0.051307224
2,0.08673479
3,0.056419473
4,0.016508054
5,0.054507177
6,0.06009041
7,0.11339313
8,0.066374265
9,0.068370566
10,0.027694572
11,0.06582062
12,0.04069276
13,0.043511085
14,0.022300098
15,0.046712432
16,0.16967149
17,0.08969513
18,0.045340855
19,0.07793526
20,0.05914287
21,0.05081444
22,0.02935027
23,0.04472594
24,0.05961905
25,0.08960048
26,0.059307955
27,0.06557193
28,0.054089896
29,0.023853656
30,0.1211588
31,0.054921288
32,0.13057634
33,0.08010675
34,0.04915903
35,0.039672498
36,0.059197344
37,0.078237906
38,0.061342634
39,0.08111817
40,0.06329527
41,0.07260305
42,0.050705165
43,0.05499161
44,0.05267201
45,0.062103778
46,0.052582085
47,0.028231313
48,0.046571665
49,0.09745653
50,0.11396484
51,0.09484832
52,0.08901708
53,0.07340015
54,0.062258046
55,0.06404277
56,0.06716679
57,0.057830065
58,0.05776925
59,0.024553034
60,0.021488978
61,0.0548307
62,0.06459166
63,0.1192164
64,0.06352535
65,0.09309186
66,0.08159785
67,0.106768414
68,0.038497545
69,0.11103366
70,0.043303855
71,0.058885474
72,0.05699291
73,0.06333896
74,0.08027927
75,0.11898788
76,0.08048093
77,0.09468578
78,0.053658046
79,0.063125566
80,0.055362593
81,0.07759074
82,0.034550197
83,0.038229
84,0.11413817
85,0.049329497
86,0.036868867
87,0.0536635
88,0.085489824
89,0.09098375
90,0.06074374
91,0.04001981
92,0.10392761
93,0.0838362
94,0.10261388
95,0.05647573
96,0.093237594
97,0.075016655
98,0.06745781
99,0.050623465
