IUPAC,ion1,ion2,density,temperature,pressure
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1407.881429,283.15,100
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1407.881429,283.15,101.325
1-butyl-1-methylpyrrolidinium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1022,283.15,101.325
1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1263.6,283.15,101.325
"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][NH1+1][C][Branch1][=Branch2][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1433.5,283.15,101.325
"1-butyl-2,3-dimethylpyridinium bis(trifluoromethylsulfonyl)amide",[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C],1398.1,283.15,101.325
"1-butyl-3,5-dimethylpyridinium bis(trifluoromethylsulfonyl)amide",[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C],1395.1,283.15,101.325
1-butyl-3-methyl-1H-imidazolium bis(perfluorobutylsulfonyl)amide,[F][C][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch2][Ring2][=C][S][=Branch1][C][=O][=Branch1][C][=O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][F],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1629.5,283.15,101.325
1-butyl-3-methyl-1H-imidazolium dimethylphosphate,[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1169.4,283.15,100
1-butyl-3-methyl-1H-imidazolium dimethylphosphate,[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1169.4,283.15,101.325
1-butyl-3-methyl-1H-imidazolium ethyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1193,283.15,101.325
1-butyl-3-methyl-1H-imidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1021.17,283.15,101.325
1-butyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1061.715,283.15,100
1-butyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1061.715,283.15,101
1-butyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1061.715,283.15,101.325
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1450.561667,283.15,100
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1450.561667,283.15,101
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1450.561667,283.15,101.325
1-butyl-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1070.5,283.15,100
1-butyl-3-methylimidazolium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1070.5,283.15,101.325
