IUPAC,ion1,ion2,density
1-ethyl-3-methylimidazolium 2-acrylamido-2-methylpropanesulfonate,[C][Branch1][Ring1][C][=C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][C][C],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1196
1-benzyl-3-methylimidazolium 2-acrylamido-2-methylpropanesulfonate,[C][Branch1][Ring1][C][=C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][C][C],[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1148
3-(2-cyanoethyl)-1-decylimidazolium dodecylsulfate,[C][Branch1][N][C][C][C][C][C][C][C][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C][C][C],1050.4
tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,[C][Branch1][N][C][C][C][C][C][C][C][C][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][P+1][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],955.6
tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,[C][Branch1][N][C][C][C][C][C][C][C][C][C][C][C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][P+1][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],938
1-butyl-3-methylimidazolium salicylate,[C][Branch1][N][C][C][Branch1][C][O][=C][C][=C][C][=Ring1][#Branch1][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1149
1-metyl-3-propylimidazolium hydrogen carbonate,[C][Branch1][C][O][Branch1][C][O-1][=O],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C],1165.5
3-methyl-1-pentylimidazolium hydrogen carbonate,[C][Branch1][C][O][Branch1][C][O-1][=O],[C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C],1141.8
1-butyl-3-methylimidazolium hydrogen carbonate,[C][Branch1][C][O][Branch1][C][O-1][=O],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1157.1
1-ethyl-3-methylpyridinium ethylsulfate,[C][Branch1][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C],1221.07
"1,2-diethylpyridinium ethylsulfate",[C][Branch1][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C],1219.73
tributylethylphosphonium diethylphosphate,[C][Branch1][C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O-1],[C][Branch1][Ring2][C][C][C][P+1][Branch1][Ring1][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],1004.42
"1-(2-cyanoethyl)-3-hexyl-1H-imidazol-3-ium 1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",[C][Branch1][C][C][C][Branch2][Ring2][Ring1][C][O][C][Branch2][Ring1][N][C][Branch1][P][C][C][=Branch1][C][=O][O][C][C][Branch1][Branch1][C][C][C][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][=O][C][C][C][C],[C][#Branch1][C][#N][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C],1089
methyltrioctylammonium 4-ethyloctanoate,[C][Branch1][C][C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][C][C][C],[C][N+1][Branch1][=Branch2][C][C][C][C][C][C][C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],890
N-methyl-2-hydroxyethylammonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][NH2+1][C][C][O],1100.6
N-methyl-2-oxopyrrolidinium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][NH1+1][C][Branch1][=Branch1][C][C][C][Ring1][Branch1][=O],1046.06
trimethylammonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][NH1+1][Branch1][C][C][C],1053.825
1-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][N+1][=C][N][C][=C][Ring1][Branch1],1115.215
1-methyl-3-pentylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C],1030.1
"1,3-dimethylimidazolium acetate",[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1127.6
butylammonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][NH3+1],956.44
1-butyl-1-methylpyrrolidinium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1021.2
1-butyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1052.151429
propylammonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring1][C][C][NH3+1],980.2066667
1-propyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1079.4
ethylammonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH3+1],1017.71
diethylammonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH2+1][C][C],952
1-ethyl-1H-imidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH1+1][C][=N][C][=C][Ring1][Branch1],1034.2
triethylammonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH1+1][Branch1][Ring1][C][C][C][C],1009.6
1-ethyl-1-methylpyrrolidinium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1064.5
1-ethyl-3-(2-methoxyethyl)imidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][O][C],1192.4
1-ethyl-3-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1099.94125
trihexyl(tetradecyl)phosphonium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][P+1][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],892.95
3-hexyl-1-methylimidazolium acetate,[C][Branch1][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C],1017
"N,N-dimethylethanamine acetate",[C][Branch1][C][C][=Branch1][C][=O][O],[C][N][Branch1][Ring1][C][C][C],1016.1
N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C][C][C][C][C][C],1060
N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C],1136
N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1115.2
N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1150.8
N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1086.9
N-methyl-N-octylmorpholinium N-acetyl-L-valinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C][C][C][C][C][C],1040.4
N-methyl-N-propylmorpholinium N-acetyl-L-valinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C],1101
N-butyl-N-methylmorpholinium N-acetyl-L-valinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1082.6
N-ethyl-N-methylmorpholinium N-acetyl-L-valinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1123.1
N-hexyl-N-methylmorpholinium N-acetyl-L-valinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1069.3
N-methyl-N-propylmorpholinium N-acetyl-L-leucinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C],1081.3
N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1069
N-ethyl-N-methylmorpholinium N-acetyl-L-leucinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1104.2
N-hexyl-N-methylmorpholinium N-acetyl-L-leucinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1050.7
N-ethyl-N-methylmorpholinium N-acetyl-L-isoleucinate,[C][Branch1][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C@@H1][Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1107.9
tetrabutylphosphonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][N][C][C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1][O],[C][Branch1][Ring2][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],1031.1
"2-hydroxy-N,N,N-trimethylethan-1-aminium cyclohexanecarboxylate",[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],[O][C][C][N+1][Branch1][C][C][Branch1][C][C][C],1067.8
"1,1,3,3-tetramethylguanidinium octanoate",[C][Branch1][Branch2][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][N][Branch1][#Branch2][C][=Branch1][C][=NH2+1][N][Branch1][C][C][C][C],965.6
trioctylammonium octanoate,[C][Branch1][Branch2][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][Branch2][C][C][C][C][C][C][C][NH1+1][Branch1][=Branch2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],846.2
trihexyl(tetradecyl)phosphonium octanoate,[C][Branch1][Branch2][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][P+1][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],881.4
trihexylammonium octanoate,[C][Branch1][Branch2][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][NH1+1][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],847.6
N-(2-hydroxyethyl)benzenaminium pentanoate,[C][Branch1][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[O][C][C][NH2+1][C][=C][C][=C][C][=C][Ring1][=Branch1],1038.8
2-hydroxy-N-methylethanaminium pentanoate,[C][Branch1][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[O][C][C][NH2+1][C],1014.62
N-methyl-2-oxopyrrolidinium pentanoate,[C][Branch1][Branch1][C][C][C][C][=Branch1][C][=O][O-1],[C][NH1+1][C][Branch1][=Branch1][C][C][C][Ring1][Branch1][=O],990.01
3-butyl-1-methylimidazolium benzoate,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C],1105.2
N-(2-hydroxyethyl)benzenaminium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[O][C][C][NH2+1][C][=C][C][=C][C][=C][Ring1][=Branch1],1035.5
"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[O][C][C][N+1][Branch1][C][C][Branch1][C][C][C],1015.7
N-methyl-2-hydroxyethylammonium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][NH2+1][C][C][O],994.2
N-methylmorpholinium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][NH1+1][C][C][O][C][C][Ring1][=Branch1],928.7
N-methyl-2-oxopyrrolidinium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][NH1+1][C][Branch1][=Branch1][C][C][C][Ring1][Branch1][=O],978.81
"1,1,3,3-tetramethylguanidinium hexanoate",[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][N][Branch1][#Branch2][C][=Branch1][C][=NH2+1][N][Branch1][C][C][C][C],994.1
N-ethylmorpholinium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH1+1][C][C][O][C][C][Ring1][=Branch1],933.4
trioctylammonium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][Branch2][C][C][C][C][C][C][C][NH1+1][Branch1][=Branch2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],844.5
trihexyl(tetradecyl)phosphonium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][P+1][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],885.5
trihexylammonium hexanoate,[C][Branch1][=Branch1][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][NH1+1][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],846.2
2-hydroxyethylammonium lactate,[C][Branch1][=Branch1][C][Branch1][C][O][C][=Branch1][C][=O][O-1],[O][C][C][NH3+1],1205.9
1-butyl-3-methylimidazolium lactate,[C][Branch1][=Branch1][C][Branch1][C][O][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1100.2
1-ethyl-3-methylimidazolium lactate,[C][Branch1][=Branch1][C][Branch1][C][O][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1186.1
1-pentyl-3-methylimidazolium lactate,[C][Branch1][=Branch1][C][Branch1][C][O][C][=Branch1][C][=O][O-1],[C][Branch1][Branch1][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1106
2-hydroxy-N-methylethanaminium isobutyrate,[C][Branch1][=Branch1][C][Branch1][C][C][C][=Branch1][C][=O][O-1],[O][C][C][NH2+1][C],1043.125
1-butyl-3-methylimidazolium L-lactate,[C][Branch1][=Branch1][C@@H1][Branch1][C][O][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1111.2
3-(2-cyanoethyl)-1-octylimidazolium decylsulfate,[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1081.7
N-methylmorpholinium decanoate,[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][NH1+1][C][C][O][C][C][Ring1][=Branch1],893.4
N-ethylmorpholinium decanoate,[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH1+1][C][C][O][C][C][Ring1][=Branch1],901.4
trihexyltetradecylphosphonium decanoate,[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][Branch1][=Branch1][C][C][C][C][C][P+1][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],878.95
choline cyclopentane carboxylate,[C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][O][C][C][N+1][Branch1][C][C][Branch1][C][C][C],[nop],1089.6
"1,1,3,3-tetramethylguanidinium heptanoate",[C][Branch1][#Branch1][C][C][C][C][C][C][=Branch1][C][=O][O-1],[C][N][Branch1][#Branch2][C][=Branch1][C][=NH2+1][N][Branch1][C][C][C][C],982.7
2-hydroxy-N-methylethanaminium formate,[C][=Branch1][C][=O][O-1],[O][C][C][NH2+1][C],1128.025
N-methyl-2-oxopyrrolidinium formate,[C][=Branch1][C][=O][O-1],[C][NH1+1][C][Branch1][=Branch1][C][C][C][Ring1][Branch1][=O],1071.66
"2,4,6-trimethylpyridinium formate",[C][=Branch1][C][=O][O-1],[C][C][=NH1+1][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C],1021
propylammonium formate,[C][=Branch1][C][=O][O-1],[C][Branch1][Ring1][C][C][NH3+1],993.45
ethylammonium formate,[C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH3+1],1033.5
ethyldiisopropylammonium formate,[C][=Branch1][C][=O][O-1],[C][Branch1][C][C][NH1+1][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C],1008
1-butyl-3-(2-cyanoethyl)-1H-imidazolium benzenesulfonate,[C][=Branch1][Branch2][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][#N],1236.8
3-(2-cyanoethyl)-1-hexyl-1H-imidazolium benzenesulfonate,[C][=Branch1][Branch2][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N][C][NH1+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C],1222.7
3-(2-cyanoethyl)-1-octylimidazolium benzenesulfonate,[C][=Branch1][Branch2][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][O-1],[C][#Branch1][C][#N][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1205.2
3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide,[C][#Branch1][C][#N][N-1][C][#N],[O][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1186.2
4-methyl-4-nonylmorpholinium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C][C][C][C][C][C][C],1032.5
4-methyl-4-octylmorpholinium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C][C][C][C][C][C],1034.7
4-methyl-4-pentylmorpholinium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C][C][C],1122.4
4-methyl-4-propylmorpholinium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C][C][C],1163.7
1-butyltetrahydrothiophenium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][Branch1][Ring2][C][C][C][S+1][C][C][C][C][Ring1][Branch1],1098
4-butyl-4-methylmorpholinium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1118.3
1-ethyltetrahydrothiophenium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][Branch1][C][C][S+1][C][C][C][C][Ring1][Branch1],1135
4-hexyl-4-methylmorpholinium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][Branch1][=Branch1][C][C][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1069.7
4-heptyl-4-methylmorpholinium N-cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][Branch1][#Branch1][C][C][C][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1063.1
1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide,[C][#Branch1][C][#N][N][C][#N],[C][#Branch1][C][#N][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1152.4
1-(2-hydroxyethyl)pyridinium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[O][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1170.4
4-(3-hydroxypropyl)-4-methylmorpholinium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[O][C][C][C][N+1][Branch1][Branch2][C][C][O][C][C][Ring1][=Branch1][C],1162
1-(3-hydroxypropyl)pyridinium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[O][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1],1149.6
1-methyl-3-octylimidazolium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1000.54
1-butyl-1-methylpyrrolidinium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1006.87
1-butyl-4-methylpyridinium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],1035.8
1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1081.196667
3-hexyl-1-methylimidazolium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][=Branch1][C][C][C][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C],1020.62
3-decyl-1-methylimidazolium tricyanomethanide,[C][#Branch1][C][#N][C-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][N][C][=N+1][Branch1][Branch1][C][=C][Ring1][Branch1][C],983.11
1-butyl-3-methylimidazolium tricyanomethane,[C][#Branch1][C][#N][C][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1046.965
1-methyl-3-octylimidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],975.1
1-butyl-3-methyl-1H-imidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1009.83
