,Learning Status,MAPE (Dataset Size = 50)
76,Transfer Learning,0.018429028
77,Transfer Learning,0.007172796
78,Transfer Learning,0.0132449195
79,Transfer Learning,0.033578034
80,Transfer Learning,0.0038095186
81,Transfer Learning,0.0054601603
82,Transfer Learning,0.013230963
83,Transfer Learning,0.0025437723
84,Transfer Learning,0.0048550065
85,Transfer Learning,0.047344737
86,Transfer Learning,0.00517382
87,Transfer Learning,0.0067311535
88,Transfer Learning,0.0047050877
89,Transfer Learning,0.0070605264
90,Transfer Learning,0.09203247
91,Transfer Learning,0.005440886
92,Transfer Learning,0.006225307
93,Transfer Learning,0.010879363
94,Transfer Learning,0.0056591406
95,Transfer Learning,0.006445301
96,Transfer Learning,0.0020553016
97,Transfer Learning,0.007446541
98,Transfer Learning,0.082857445
99,Transfer Learning,0.006682149
100,Transfer Learning,0.0048452076
