,0
0,0.0047163223
1,0.059799064
2,0.18313864
3,0.0015963921
4,0.00097224646
5,0.104063906
6,0.082592204
7,0.043039925
8,0.0066541955
9,0.0024711876
10,0.019457787
11,0.00052662555
12,0.020959739
13,0.021092718
14,0.08816385
15,0.08696279
16,0.073971294
17,0.01772701
18,0.22844107
19,0.056998182
20,0.01160177
21,0.058916766
22,0.018233614
23,0.096521266
24,0.036136404
25,0.0015686633
26,0.031025166
27,0.043054897
28,0.00329385
29,0.0011804557
30,0.00048775985
31,0.0032705062
32,0.09833516
33,0.0030079638
34,0.0006628316
35,0.001218511
36,0.0027169117
37,0.11891694
38,0.02665864
39,0.037662778
40,0.031100696
41,0.008773665
42,0.0030998203
43,0.00054478936
44,0.0062768147
45,0.0025160266
46,0.00085245224
47,0.08652337
48,0.0028434922
49,0.06541605
50,0.058049798
51,0.051797766
52,0.00040349612
53,0.032597527
54,0.0145922275
55,0.012418168
56,0.014338523
57,0.15128165
58,0.0010223251
59,0.0085054245
60,0.0070009814
61,0.0400896
62,0.037223257
63,0.037763957
64,0.0039086193
65,0.1583739
66,0.016815573
67,0.07914998
68,0.005953164
69,0.0013267223
70,0.044151813
71,0.009930188
72,0.0014559363
73,0.00072603783
74,0.008104255
75,0.05694852
76,0.023487363
77,0.25042588
78,0.05134685
79,0.0009748248
80,0.0028906416
81,0.01582445
82,0.010464969
83,0.0037152092
84,0.17508128
85,0.018955618
86,0.109525785
87,0.088739514
88,0.0014004179
89,0.099299215
90,0.04838994
91,0.0013869328
92,0.14623804
93,0.002859038
94,0.018625693
95,0.0032802378
96,0.09090809
97,0.2661096
98,0.0025722627
99,0.078238934
