,0
0,0.0
1,7.105427357601002e-15
2,0.0
3,2.3684758564530796e-15
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,5.921189641132699e-16
10,3.552713678800501e-15
11,3.947459672522534e-16
12,4.554761384577982e-16
13,5.921189747011817e-15
14,3.1579677909575863e-16
15,7.179442790597977e-15
16,2.786442199632905e-16
17,1.3816108986177767e-15
18,2.1191625080988537e-15
19,5.5659182944284725e-15
20,2.594044965471636e-15
21,1.6148699021270997e-15
22,5.1488604999636956e-17
23,6.167905880591525e-15
24,1.7053026335868762e-15
25,1.548618796641131e-15
26,3.1141071014597786e-15
27,1.6071800076363331e-15
28,3.3485346927989573e-15
29,4.0264088077394695e-15
30,6.456006773424656e-15
31,5.876162750828584e-11
32,1.1160545076538235e-14
33,5.939649813657688e-13
34,1.0780693178447098e-11
35,5.805044778206536e-10
36,2.752552993748412e-15
37,1.672178839839944e-08
38,2.067861703538513e-14
39,9.40604181209892e-08
40,1.3817481203659554e-06
41,2.074069982427318e-08
42,1.9553696295059216e-15
