,0
0,1.1842379282265398e-15
1,0.0
2,0.0
3,0.0
4,9.473903637570555e-16
5,1.973729836261267e-16
6,0.0
7,3.1086244689504383e-15
8,4.079041741015957e-15
9,1.1842379546963194e-16
10,4.171208951159189e-12
11,2.707862449824461e-07
12,4.190380410284272e-15
13,4.405026690634806e-12
14,2.3684758564530796e-15
15,8.70664280228084e-07
16,2.9571552317975147e-08
17,5.1357108669936036e-12
18,5.534768021675518e-08
19,1.0914500592207332e-07
20,4.5034032059021456e-10
21,4.8447013512031845e-08
22,3.6187788876596017e-11
23,1.2946155258930503e-09
24,2.7794349044540922e-09
25,1.1258913940048743e-10
26,6.162348853422372e-08
27,1.1595009254961042e-06
28,1.4467925666394876e-06
29,1.0249169690723647e-06
30,3.748025889649398e-09
31,9.693553598699722e-11
32,4.67186782771023e-06
33,1.5390170915452472e-08
34,1.2077553179778988e-08
35,1.1423583146097371e-06
36,3.0242354398524185e-08
37,6.920015493960818e-07
38,6.2115095289527744e-09
39,5.111259611112473e-07
40,2.8536062472994672e-06
41,1.051453523359669e-06
42,4.606318543665111e-05
43,1.5604830139182013e-07
44,4.510330882112612e-07
45,4.419597487981264e-08
46,6.35388050795882e-06
47,1.169604388451262e-06
48,1.1084180187026504e-06
49,1.6659379298289423e-07
50,1.3003356116314535e-06
51,0.00017031024617608637
52,9.623632877264754e-07
53,7.401848165500269e-07
54,3.283002980580818e-09
55,5.984205841969015e-08
56,4.600295255841047e-07
57,1.3419304423223366e-06
58,4.588117917592172e-06
59,5.716607631711668e-09
60,1.7233496691915207e-05
61,4.586128852679394e-06
62,3.791723429458216e-05
63,3.253339855291415e-07
64,2.78658859542702e-07
65,5.071642021903244e-07
66,5.187414444662863e-07
67,6.795367113454631e-08
68,4.551239669581264e-07
69,2.9996044759172946e-07
70,2.3394168238155544e-06
71,2.4405333078902913e-06
72,2.1359619495342486e-06
73,2.378711485562235e-07
74,1.7299529417869053e-06
75,1.2928600881423336e-05
76,1.0418144569257493e-07
77,3.0772705940762535e-05
78,3.2322705010301434e-06
79,4.0669632994649874e-07
80,9.517386843072018e-07
81,7.615674257976934e-05
82,4.513276053330628e-06
83,2.5068984541576356e-06
84,7.227206879178993e-06
85,2.5153149181278422e-06
86,4.84377096654498e-06
87,1.3643302736454643e-05
88,0.00017052302428055555
89,2.3712449547019787e-05
90,0.00013861058687325567
91,4.067938789376058e-06
92,2.3248798243002966e-05
93,1.6704223526176065e-05
94,1.4993323020462412e-05
95,5.347532805899391e-06
96,4.819002242584247e-06
97,2.4847002350725234e-05
98,1.2041470654367004e-05
99,1.5181051821855363e-05
