,feature,weight,std
0,x4835,0.012064824431432886,0.0007225645224231526
1,x861,0.009589195629393732,0.005295162808602119
2,x29,0.008502399468023137,0.0015910907477491626
3,x806,0.008251914553563977,0.0034156075171117278
4,x1039,0.0077888905031181285,0.005007915657440888
5,x4480,0.00686259197037351,0.0011622367819431835
6,x767,0.006442685525169689,0.001457573625159215
7,x4810,0.005945675543223383,0.0005213460530794941
8,x1222,0.005935736607756525,0.0030358594000650337
9,x681,0.0059315478822761,0.0014186126420563108
10,x18,0.005893979399420624,0.002192896118903932
11,x4460,0.005653034759192921,0.0013949636622159049
12,x4654,0.005548836835635651,0.0014188183907993435
13,x4862,0.005461855291714302,0.0014638486277836196
14,x3990,0.005140422282416668,0.0020881745744929367
15,x4009,0.004791765012012172,0.0005534830508525104
16,x1170,0.004743492783653824,0.0031849732326537095
17,x384,0.0045891473139290095,0.002042904579375697
18,x4633,0.00443801520983631,0.002285103041560986
19,x234,0.004347869638051694,0.0013999463690055082
20,x1112,0.004096170894603635,0.0008875441043485965
21,x4620,0.004078812565627987,0.0024763539436463092
22,x4285,0.004066170829217963,0.001310100743679672
23,x4220,0.0040536471796111416,0.002245003096098321
24,x229,0.004040746268328533,0.0019677859092236175
25,x508,0.003898514883806059,0.0009678104511562987
26,x724,0.0038492716756500568,0.0019310484830675739
27,x78,0.0038249334684850476,0.001596449631651518
28,x5063,0.0037188062781897237,0.001438688579682398
29,x516,0.0036622962216926957,0.0013840111730122322
30,x378,0.0036138017702568746,0.0015082998199494805
31,x5070,0.0036121992905158162,0.0020501967821475054
32,x586,0.0035970933301906483,0.0016224159884459563
33,x57,0.003512220570458635,0.0019117627809016788
34,x100,0.0035040411962904638,0.0010049710003545436
35,x5798,0.003463637416144372,0.0008967645965872482
36,x170,0.0034589724712240423,0.002019572826160027
37,x601,0.0034350009885252943,0.0008925580317255539
38,x92,0.0034098740938736773,0.00110177648014931
39,x4117,0.0034068672671240694,0.00034661860250892695
40,x4141,0.0033347626946079066,0.002250556254953439
41,x4740,0.0033039647548432473,0.00038870634757470784
42,x4562,0.003285224054388669,0.00034346303956495793
43,x27,0.0032456649915456382,0.001417740968092921
44,x26,0.0031832244770708673,0.0022101341975132444
45,x5018,0.003052988054168049,0.0016654887971567641
46,x5642,0.0030289941538881983,0.0008265402825759574
47,x4428,0.003025441607879609,0.001069736012495192
48,x794,0.003006344976563757,0.0021518862368696875
49,x450,0.002751098371251581,0.0005399102115703838
50,x4170,0.0027264994785402897,0.00104615389692974
51,x4109,0.0026921635310993342,0.0009941156490278478
52,x4516,0.002682385920334052,0.0013849352949174736
53,x592,0.0026301486832135622,0.003073664756216869
54,x4544,0.0026270261717993735,0.0009860630070457283
55,x4477,0.0025842089289767724,0.0026031971057269765
56,x1091,0.0025510726024500887,0.0009186537784081487
57,x4939,0.002472898391738654,0.0013085062532894273
58,x488,0.002338096922566546,0.0018066220926909935
59,x4891,0.002318339730120145,0.003204773538906953
60,x4731,0.0023035746795965206,0.0026190282371820095
61,x4453,0.0022465748914659136,0.0004662790243515202
62,x4302,0.0022389022296561032,0.0008733651674987856
63,x4238,0.002147668943229086,0.0028277166988664127
64,x4290,0.0021182396779798386,0.00048067041831173377
65,x4270,0.0021129576412378,0.001998433583726063
66,x653,0.002100091510601665,0.0010366350071818575
67,x913,0.0020986775370455566,0.0019262210462694946
68,x4328,0.0020450544819456073,0.0012014238384926476
69,x4828,0.0020445713952616405,0.0004494268193811517
70,x1381,0.0020319778268909293,0.0006509564845701693
