,feature,weight,std
0,#861,0.3869046215945954,0.12187685121227666
1,#1170,0.38455274981167253,0.0700716518011267
2,#913,0.37602815736902917,0.05079291304420259
3,#592,0.3551698527044299,0.11428192756084624
4,#4783,0.3286902077271063,0.04077025929086875
5,#1433,0.2661979568967859,0.07441981579483281
6,#125,0.2356306149258586,0.1450584369888947
7,#4887,0.18789510596313758,0.11333344609036816
8,#1299,0.1690400274010167,0.06048704947707994
9,#1559,0.15639457028238152,0.11926270839936116
10,#442,0.1497816625770268,0.12166068705547693
11,#473,0.13896328790083948,0.10938911683806124
12,#1066,0.1349260950200766,0.10505622226173536
13,#1268,0.13363460906835914,0.048102826183943174
14,#1091,0.1272366967225859,0.05584414097773647
15,#1507,0.11858363118092367,0.07909079237706715
16,#4731,0.11832207595734885,0.13248845158344816
17,#1715,0.11656314599078144,0.0415434837411272
18,#1485,0.10925961575765315,0.03038966074049698
19,#831,0.10702924639064382,0.04558511557707724
20,#4193,0.1008968880998129,0.07279459882877454
21,#4991,0.09889670240736732,0.0777449608745146
22,#148,0.09880922616613237,0.1310969654424149
23,#1195,0.09586670164360586,0.03160697249189749
24,#675,0.09194720429161571,0.07587591890549895
25,#546,0.08556139397572522,0.046733564281310314
26,#1455,0.08301422455808971,0.04571188921252513
27,#4024,0.07844781292080734,0.033739795399319344
28,#482,0.07769302498360635,0.03157572146110302
29,#1351,0.07553978877293266,0.06479622254574512
30,#1663,0.07544586358700792,0.042390419704349536
31,#369,0.07437704323203549,0.04341323657570207
32,#779,0.06990823133666693,0.052456159939834726
33,#1641,0.06621688851547361,0.06467017362915618
34,#1225,0.06318292188166956,0.042253761218898324
35,#1039,0.055559798488713154,0.02772700255518904
36,#519,0.055468252373849405,0.017114153372742205
37,#4828,0.05310907472557953,0.011364846370991576
38,#326,0.05219501876153152,0.06102881628605532
39,#4324,0.051325940564672615,0.015415824135746794
40,#4134,0.05118752396094406,0.02452082990628247
41,#430,0.05065584433832067,0.014533474035413892
