,feature,weight,std
0,PC9,1.7923505558926034,0.526626839659581
1,PC10,1.7873798758142754,0.40862322644797205
2,PC2,1.5603136760759013,1.5795502806599926
3,PC3,1.1131122497633164,0.46840772338159903
4,PC5,0.8669954212540087,0.7371583336080214
5,PC41,0.6284502606526488,0.19848484690598495
6,PC6,0.6267277616585154,0.6096676412691516
7,PC32,0.521742278006904,0.12702660467903587
8,PC4,0.5042903887152116,0.4816929545240332
9,PC20,0.49256529050878656,0.32970683948234586
10,PC28,0.47314750979861503,0.2185454493120213
11,PC8,0.4688766781099812,0.3331981396905994
12,PC25,0.4630800093880808,0.3113965892052544
13,PC11,0.4310386955234831,0.1852338865393245
14,PC15,0.41104175272334553,0.5432959275625132
15,PC18,0.38710976388199025,0.2974119163874587
16,PC7,0.3613103306239731,0.7613323936148387
17,PC23,0.3205431970741207,0.22346388536544343
18,PC1,0.31057559118723255,0.8614717442226512
19,PC30,0.29296784536510695,0.2169654591172745
20,PC31,0.26987604267266024,0.10939536301227717
21,PC17,0.19499168986106669,0.5652875787863141
22,PC24,0.17724544687704197,0.13792524450420707
23,PC40,0.1432969454923036,0.17980297609193793
24,PC48,0.13884885356904048,0.16692311240512078
25,PC22,0.10730973753595556,0.2411100280422333
26,PC27,0.057521015992033145,0.3871549186198462
27,PC46,0.05662588084229494,0.2987545097854944
28,PC36,0.01847520939414409,0.13290417418088585
29,PC16,0.011867118291766409,0.22710955588827725
30,PC34,-0.015624385000743502,0.26839827151656764
31,PC44,-0.02525800064746413,0.13775988396352662
32,PC35,-0.028432693956297682,0.22182640563828074
33,PC14,-0.03958574941886859,0.2697921534922745
34,PC39,-0.04325722640712097,0.04855097287950436
35,PC42,-0.05535866566983518,0.03809954115479719
36,PC37,-0.07115798561316264,0.0865740975326947
37,PC45,-0.10937570298103268,0.14864582969769485
38,PC21,-0.11208421791912712,0.13282947254172953
39,PC49,-0.1378971100664387,0.04969240877255744
40,PC43,-0.14433129566429503,0.11262379847472455
41,PC13,-0.16510369765413396,0.0991936752983771
42,PC50,-0.1807761835626051,0.09396727417503109
43,PC33,-0.20451774978630724,0.055361036013195954
44,PC38,-0.20668441795572895,0.10552804587834602
45,PC26,-0.22617689057705306,0.14517762382877178
46,PC12,-0.2831159261163217,0.36549600469321086
47,PC29,-0.3476738274876176,0.08969870540904039
48,PC47,-0.544741854959654,0.11683552166593753
49,PC19,-0.6320263891760725,0.20027249741382394
