,feature,weight,std
0,#861,0.1939767817516722,0.07515694098760756
1,#4783,0.18836379386077137,0.02277330588557396
2,#592,0.17658284944744698,0.10021354226125787
3,#78,0.170147838594247,0.05780831237754961
4,#4193,0.1397545715748499,0.06968453985311766
5,#29,0.12351646432507764,0.03708791325666432
6,#148,0.1098803233969566,0.01852307294414417
7,#650,0.1022492799437712,0.028763123597670748
8,#4939,0.09866413108440672,0.03515464035152841
9,#4731,0.09491998991877977,0.054230495581366576
10,#390,0.09435490543713346,0.04406572569971002
11,#1641,0.09096458012159463,0.04165930507097675
12,#200,0.08933166342578806,0.04670313317825836
13,#675,0.08796600020465783,0.031212080849800074
14,#4740,0.08595287778912578,0.03713214420448014
15,#1403,0.08425605546186461,0.03053446542344081
16,#4887,0.07972882618680213,0.02318157885655054
17,#1381,0.07935000086755148,0.016702132421473996
18,#4991,0.07749915078588102,0.011853402698772431
19,#846,0.07635231330848588,0.0123436029809621
20,#1351,0.07615835235857568,0.016099727531322924
21,#987,0.07595272256995422,0.026832755787172403
22,#1433,0.07592799711003069,0.05071485548249601
23,#26,0.07303439839107431,0.018977598938027862
24,#1247,0.07011849161824449,0.03464299290174214
25,#546,0.0683823015920908,0.023925018281199962
26,#1066,0.06478265497846816,0.03294330238652685
27,#623,0.0642881270680116,0.026711419424438623
28,#913,0.0626620728488192,0.018069525676520773
29,#442,0.062140330527871844,0.03138727967804213
30,#4835,0.06147550458084239,0.020035025405233102
31,#702,0.06026038716778637,0.01736814374115008
32,#5355,0.05953042081220863,0.042933207864473195
33,#598,0.058911480874026756,0.024910548993911773
34,#4532,0.05782463567948728,0.022339571605120682
35,#1091,0.05612966308782692,0.021273661028929972
36,#1170,0.05522391921216452,0.029002440051328043
37,#1715,0.05510737757619346,0.025020745217329006
38,#4596,0.054683541847679026,0.025272342406292805
39,#5174,0.05302713357486688,0.027526534651691227
40,#34,0.05221893885861808,0.05670132054079249
41,#658,0.04872297565009291,0.030931399304358044
42,#724,0.048681893835018884,0.028890278912841794
43,#317,0.04830589496948514,0.029052144671369805
44,#4460,0.04766950270812949,0.020547121514651243
45,#5798,0.046330836314095694,0.01488171977296523
46,#5043,0.04414612695241251,0.03626536296690812
47,#1507,0.04278750713230752,0.024831040121674485
48,#779,0.042110313266654355,0.031253315867415095
49,#1559,0.04179871412758316,0.023590058825155906
50,#482,0.041287865201314264,0.031053415303087514
51,#4394,0.0375036179203934,0.010719622364340474
52,#246,0.03741659507095494,0.022112469282625682
53,#559,0.03650212295061857,0.021480506040734065
54,#962,0.035292980569581724,0.020501924772974488
55,#213,0.033948170866052355,0.017486839846013735
56,#1268,0.03355936131930637,0.016110952194025946
57,#889,0.03236864268941857,0.01559620088660637
58,#754,0.03111756146774396,0.020317098253495414
59,#494,0.030765057234248806,0.02795692309021946
60,#5746,0.030690576020359805,0.027328551634269296
61,#1485,0.030252177962775108,0.019584102399355863
62,#4474,0.0295424866115759,0.009951418867993599
63,#170,0.029456494516034916,0.01555707348603704
64,#935,0.02922161933809464,0.015568889310169153
65,#4568,0.027016048104226552,0.012749700731251557
66,#4679,0.026746263033429973,0.012285497688536704
67,#4290,0.026297532246308396,0.023511168104487147
68,#4297,0.02477162922997962,0.010779185382331538
69,#993,0.024470009273810444,0.007646176868593705
70,#4220,0.024405526343041762,0.025897440511637858
71,#4141,0.02423403735384435,0.011153810760219453
72,#1149,0.022973188728268902,0.02880060699719447
73,#5459,0.022555650323344455,0.01623070157480982
74,#1299,0.022192299426753537,0.014410812260438836
75,#767,0.022021065985446463,0.018762504248685394
76,#369,0.021678038298051528,0.015327482220588733
77,#1326,0.021525420195026346,0.02549057261929315
78,#5434,0.021440416816398966,0.0071077112014638014
79,#4810,0.02086966004219537,0.014720070087931459
80,#378,0.019706896296151542,0.00860457899149564
81,#1112,0.019412308516121725,0.014931993016259656
82,#5642,0.019243487726594545,0.009998836760487614
83,#525,0.01899094106421615,0.005911452182743976
84,#207,0.018852973367878924,0.01021962261246924
85,#18,0.018709838132020807,0.011986414901684273
86,#1262,0.018648938804596706,0.007639544554632285
87,#280,0.018259715003713907,0.007762174695653084
88,#1589,0.017874796039308128,0.007643692663631816
89,#5486,0.017623092127605933,0.01625351608051872
90,#5070,0.017596243915902754,0.018223753699602146
91,#612,0.016756177500511126,0.01571204109439835
92,#4914,0.016632572858415774,0.026338026559192523
93,#5902,0.015942292796126044,0.008785155900002027
94,#4197,0.01588239280218782,0.010166096203821381
95,#883,0.015198328942215266,0.010334733208680532
96,#488,0.015089179974110167,0.009571449070858598
97,#351,0.014425066547756282,0.006788626408782839
98,#611,0.013839069226960677,0.01363122229634166
99,#4633,0.013737615556893545,0.007874133982313639
100,#4117,0.013533685330677647,0.007329131511976524
101,#473,0.013429145019436196,0.02017664548014014
102,#5226,0.013406332424484125,0.008084625352379408
103,#1039,0.013157539263255224,0.007009874824956939
104,#5018,0.012562703549275333,0.014159217018193497
105,#806,0.012416482787542659,0.013971422523694804
106,#38,0.011911792445492009,0.008995591537306287
107,#4024,0.011556023745115263,0.032105378531279094
108,#4238,0.011552803518741706,0.019786325273137482
109,#4428,0.011459656071079061,0.01416338959627932
110,#3992,0.011418451321088896,0.01342928394060508
111,#1195,0.011413120933656495,0.024818318124806272
112,#149,0.011281887506228694,0.0026968734045546604
113,#4737,0.011192457025223979,0.009161284231891435
114,#4862,0.011181052414161296,0.020645209386267578
115,#4109,0.011173788218657199,0.008356893275485689
116,#1663,0.010947943232225033,0.018747845273936376
117,#48,0.010892689416286804,0.01631175849755381
118,#5694,0.010551811960376512,0.010879551604960468
119,#242,0.0105256151651413,0.0027303576328571765
120,#162,0.01022337581882644,0.005683184048103176
121,#196,0.01000323528163749,0.0052667479495947574
122,#653,0.00995372080251109,0.007013908447448419
123,#5563,0.009873694830918133,0.02463387874413694
124,#130,0.009801854768665375,0.026316369113345044
125,#1097,0.009783463344789568,0.0032381528311537446
126,#125,0.009041757870132505,0.03624173506219298
127,#4453,0.009033334388909742,0.0024040413595475454
128,#4948,0.008547912838902948,0.0028086486081740176
129,#858,0.008362655183114276,0.009522176174154991
130,#124,0.00835004049142889,0.019157345385364122
131,#109,0.008248176415869479,0.008808514043214241
132,#1586,0.008182253123945249,0.005986983475783439
133,#4168,0.00804185972942315,0.006232152204318443
134,#4044,0.007447702931630551,0.00539916665109172
135,#450,0.00741143421729813,0.004521133764350641
136,#338,0.006913617441547637,0.014345228739043382
137,#4356,0.00651648449570148,0.003623094189262946
138,#4425,0.006507707842798171,0.011258396467178647
139,#638,0.006465181861364666,0.0036589577479895947
140,#4772,0.006234048009219406,0.005414103398113709
141,#632,0.005857941014454471,0.0013168230395895926
142,#4368,0.00572091448943568,0.0032383423051223674
143,#222,0.005716674271666933,0.005054299720077756
144,#4724,0.005454756466615085,0.007776341551346104
145,#4270,0.005444695572309666,0.0044938391423841656
146,#1183,0.005276603018246173,0.006703626784940722
147,#256,0.005089407051321659,0.004938681790774242
148,#794,0.004896864575926263,0.007549052812091186
149,#4841,0.004866152111596999,0.007322836685334717
150,#4505,0.004815551485339631,0.007451855046382891
151,#4856,0.004652129786247339,0.0068304177208513665
152,#1222,0.004602299058197823,0.010317252527298256
153,#4009,0.0045010091463308696,0.00833791074380911
154,#681,0.004334389791280868,0.003856726172522535
155,#92,0.004214904721187196,0.0009732361982691659
156,#4284,0.00420372023732134,0.018458484490751
157,#4100,0.004145456609924536,0.0047186951721370106
158,#315,0.004023707026820955,0.008837588077305917
159,#4377,0.003968403673828491,0.008970603111380112
160,#73,0.003788030937710629,0.007169216199615779
161,#5304,0.003562162470725361,0.026623040034842324
162,#4409,0.003512267015989279,0.01133331113766534
163,#1225,0.003456266054704793,0.013470326695114325
164,#1430,0.0034561887826868977,0.01075317214351625
165,#1274,0.003180108926910097,0.00944870742429929
166,#601,0.003145092237826175,0.0024702085982718164
167,#680,0.003073286862077773,0.0017269318264313551
168,#4581,0.0029942422271178382,0.00560212794967842
169,#4134,0.0029652612796149834,0.022844823844042687
170,#831,0.0029059090154722744,0.008430424351518554
171,#421,0.002877275350746844,0.006968523949214283
172,#4263,0.0026801730908075027,0.014896521868098905
173,#47,0.0026137847401278337,0.0030514496306897304
174,#454,0.0026134119952715418,0.005794783701116791
175,#1287,0.002607803379086149,0.01373328185653742
176,#727,0.002508585135809671,0.014639396265363392
177,#456,0.0022885921018504394,0.0068913726708038055
178,#4480,0.002095770149443932,0.005602208434223833
179,#4828,0.001995105412668163,0.011439537561057582
180,#5850,0.0019185679081257013,0.011636875764978743
181,#1143,0.0018996583905100729,0.013118639716497666
182,#573,0.0018953136634231038,0.0016477783808498826
183,#4170,0.0018605675062571825,0.002745502631354274
184,#4715,0.001853426528990365,0.001359390731954278
185,#4550,0.0018185337772657518,0.006638894048588066
186,#4493,0.0017981460010737971,0.007126424197857854
187,#440,0.0017669858617205048,0.006258542600452453
188,#4473,0.0017403566128270987,0.002406479456306919
189,#305,0.0017329314843193221,0.0018421146677370323
190,#146,0.0015239354669881688,0.003028919135444796
191,#216,0.0011133130951436643,0.00401172023471603
192,#4513,0.0007305707042576159,0.0025486474778751195
193,#663,0.0006495836302203628,0.00917832763214744
194,#5063,0.0004888009914441715,0.004358151126541618
195,#5064,0.00024912469860145504,0.005068897004618366
196,#516,0.00022415210922670513,0.010862148564215614
197,#4562,0.00019628153785704593,0.0015202475530987475
198,#715,5.919234423679143e-06,0.017959423205803505
199,#229,-3.8905653422882656e-05,0.013426881223531055
200,#403,-0.00019408712493351743,0.011805638925316598
201,#4896,-0.0005139411475223454,0.007124984632687024
202,#4839,-0.0007211730804882466,0.0021230338543718947
203,#356,-0.0008877993633146231,0.010672326949778741
204,#4804,-0.001179954032668129,0.003044887185179285
205,#5122,-0.0012126170539866533,0.01122151931246513
206,#4310,-0.001247306155027772,0.014429001368980716
207,#5012,-0.0013349859045185485,0.002364299874649556
208,#248,-0.0013926703399913087,0.0028079988016381187
209,#4304,-0.0015877786963264472,0.0026754964843603863
210,#1455,-0.0017103044411388656,0.0310753142969561
211,#408,-0.0017351601433436726,0.004371253021872279
212,#4668,-0.0018659399172072043,0.006957267198600725
213,#1118,-0.001884666179110095,0.004234386757511583
214,#3990,-0.002022163211116568,0.004974235317336464
215,#644,-0.002219556224248165,0.008102828612470062
216,#4160,-0.002223956118966508,0.006408323059967
217,#4201,-0.0023767829069923476,0.004209617129317845
218,#4057,-0.0025897395845799753,0.004037222417171227
219,#809,-0.0027967291155972297,0.0031133696676770174
220,#4636,-0.002916908568396326,0.00794304902157629
221,#1106,-0.0030078328980233326,0.013444250269258213
222,#5875,-0.0030980494853673603,0.007511760039116807
223,#4082,-0.0031150862554749194,0.01683101221604662
224,#33,-0.0032914629371111116,0.010914800941546558
225,#871,-0.0036079338390887284,0.00413268667537134
226,#332,-0.0037529187779785866,0.010232583336257454
227,#4591,-0.0038351629829498357,0.002284668542443787
228,#5272,-0.004236184088527439,0.007914268978121211
229,#161,-0.004514701499599249,0.007169608945006952
230,#519,-0.004658109947090816,0.028017300185265354
231,#1210,-0.004696221202507034,0.006950830880348071
232,#27,-0.005028091564342141,0.004787502777026736
233,#984,-0.005183161612925535,0.02166137802723722
