,feature,weight,std
0,PC2,1.0474410353257484,0.13485427787544368
1,PC1,0.7571703840641115,0.1667682469146216
2,PC3,0.5490362415975929,0.16962076476753948
3,PC8,0.39981668104951856,0.0903516954976068
4,PC21,0.36589668301494704,0.21994466403649415
5,PC4,0.34999973468749007,0.10275057084438073
6,PC5,0.340288148770265,0.058884030168381875
7,PC7,0.3303579918120814,0.2379902818985843
8,PC20,0.23618620977058188,0.13555748560460928
9,PC25,0.2258812074899247,0.14576954773476422
10,PC10,0.20126134731026274,0.08822471890264873
11,PC17,0.18302350172378934,0.046249795483838445
12,PC14,0.1793952947506409,0.13708173500803056
13,PC6,0.1653231976537966,0.1250814191871797
14,PC9,0.13277641194354528,0.073274816090573
15,PC13,0.10662510130913297,0.06530008568667575
16,PC24,0.10239913784580276,0.040410660671586184
17,PC48,0.08830422222644682,0.052005779257320556
18,PC16,0.08457937305092651,0.0794710629483461
19,PC36,0.08441073834787649,0.08028197011659827
20,PC23,0.07961631579494895,0.04236973547301714
21,PC30,0.061799460368234985,0.059126239663067404
22,PC32,0.059173693483404136,0.06149600225678025
23,PC41,0.05876500599235825,0.10888742368034128
24,PC35,0.05341027909300191,0.06374788494316064
25,PC40,0.05162853786202759,0.050815314551878495
26,PC11,0.042776174834292566,0.06884239974836373
27,PC29,0.04185741823153184,0.05365535277519547
28,PC31,0.03723664173570529,0.024343236512880236
29,PC44,0.025477961592711828,0.02783170204681458
30,PC39,0.02477723561451941,0.05087993937761036
31,PC26,0.02451271901057237,0.048182605849575746
32,PC45,0.01634702647195736,0.0583938172807604
33,PC38,0.010584163598373397,0.042992828241100026
34,PC22,0.004851266904457541,0.09726801062067901
35,PC15,0.0015751992813096915,0.09455602559706382
36,PC50,-0.001578936241682305,0.059085011506042874
37,PC37,-0.018857652229413845,0.04894617006034737
38,PC42,-0.021523145091313856,0.06821489494538639
39,PC12,-0.022701348347132333,0.04308456973660804
40,PC47,-0.022828711544700297,0.04616237139264702
41,PC28,-0.025498856763443278,0.03706147003925261
42,PC33,-0.02774589965866765,0.06372268000419058
43,PC43,-0.03224771941224649,0.030843647136729185
44,PC27,-0.05933578736599965,0.07646796685494377
45,PC34,-0.062196649820103866,0.10756359224980858
46,PC19,-0.07190158282097162,0.037575387641848125
47,PC49,-0.0782135571465293,0.028603729855461075
48,PC46,-0.07851193178676538,0.056523030837197265
49,PC18,-0.08764869788231891,0.03477747169363689
