,feature,weight,std
0,#4731,0.19948217232597426,0.045925812548256485
1,#78,0.19273137418803094,0.08058859342267458
2,#4783,0.1611491169978076,0.06040588082212036
3,#592,0.13208915006779295,0.05436145921578431
4,#4740,0.13098857036673378,0.05798169185291192
5,#1066,0.12527240544669477,0.03831835572642864
6,#29,0.11496004234738635,0.011317150150676693
7,#4193,0.11448897978042652,0.03318517519383905
8,#861,0.10768047804068348,0.008806351830246821
9,#675,0.09212121976398595,0.01994081564476665
10,#546,0.09040661802249299,0.03859387326725878
11,#390,0.08820642884752927,0.04219420995029826
12,#4532,0.08759353863161909,0.030306578253296416
13,#1641,0.08516630030454493,0.03109124165818486
14,#623,0.0851181751897733,0.01691832738622361
15,#317,0.08442182944695213,0.026262390038216094
16,#1403,0.08266085584727452,0.01935588219883883
17,#1039,0.07972707629273106,0.021105065207107556
18,#4024,0.0783363589741887,0.044193947376621794
19,#1381,0.07160415987576225,0.017450131524652798
20,#109,0.06925396273311149,0.021197387556367554
21,#962,0.0691081221411429,0.0249633139007702
22,#1143,0.0682683526531224,0.02320078204294313
23,#5070,0.06737325277476683,0.022590584797105098
24,#779,0.06615918014928676,0.018595042604899838
25,#4596,0.06409232233886679,0.019803598005040505
26,#442,0.063190612175584,0.018873285385379975
27,#5043,0.061039040450789075,0.010340100564515828
28,#482,0.05905408464944086,0.006843087130609983
29,#1351,0.058013378697268234,0.030759522061054735
30,#4297,0.056835511340443866,0.017204205244390713
31,#4030,0.05674936510753128,0.03834098581793394
32,#658,0.05475125787385311,0.02753939878856642
33,#598,0.05358103371003886,0.009488373570200092
34,#1091,0.052095627265874266,0.04725990156363158
35,#724,0.05183584215155339,0.02568808339464958
36,#5174,0.05076990500106841,0.007101833464505194
37,#5798,0.050455522971422306,0.018931531944179146
38,#846,0.04945374851923985,0.03336797612064996
39,#234,0.0492381170088992,0.019499601197470472
40,#913,0.04871244860806005,0.02863965010069976
41,#4492,0.04815677512232845,0.014207236495282377
42,#200,0.047953536013114764,0.017734318704809387
43,#34,0.0467938495561838,0.015376087270591726
44,#702,0.0462590636455791,0.04409674917477975
45,#378,0.04565782590305445,0.021390780289851606
46,#519,0.04508993155349748,0.01570788689744157
47,#326,0.04421505911022498,0.01967209997974561
48,#1326,0.044111652231700174,0.01358170247611224
49,#984,0.04355546444718452,0.03816746926706792
50,#1262,0.04314076131553426,0.016424571341305313
51,#4220,0.042288739797864475,0.020251465675065083
52,#1112,0.04178448191235007,0.020078178335440726
53,#5459,0.04165216684205262,0.011865794731193664
54,#4550,0.041425399813301046,0.006790278558005024
55,#4887,0.040869455377256725,0.02523729845875705
56,#5304,0.0405181297971214,0.019850208149195026
57,#1559,0.03999798163999846,0.007560767370286311
58,#4835,0.039561301068595345,0.026588900071435363
59,#1715,0.03932612646967397,0.03307499493085501
60,#1589,0.0384124659857791,0.010051303514226026
61,#4939,0.037425138320060516,0.03655052706322639
62,#1663,0.037268859683860935,0.021417576081478658
63,#369,0.03656700774356834,0.010898473270000725
64,#1507,0.03525583690834244,0.024053223113356944
65,#213,0.034991884163591155,0.02193617927190322
66,#5486,0.03325524150396695,0.010943006584360988
67,#5850,0.03313916074247114,0.020554474791789124
68,#5746,0.03279580304517882,0.005455287716138457
69,#910,0.031213004423166168,0.017973618993858288
